tileswide 16
tileshigh 14
tilewidth 16
tileheight 16

layer 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,2,2,2,2,2,2,2,2,3,0,0,0,
0,0,0,4,5,5,5,5,5,5,5,5,6,0,0,0,
0,0,0,4,10,11,11,11,11,11,11,12,6,0,0,0,
0,0,0,4,13,19,14,14,14,14,14,15,6,0,0,0,
0,0,0,4,16,17,17,17,17,17,17,18,6,0,0,0,
0,0,0,4,20,27,21,21,21,21,21,22,6,0,0,0,
0,0,0,4,23,24,24,24,24,24,24,25,6,0,0,0,
0,0,0,4,20,26,21,21,21,21,21,22,6,0,0,0,
0,0,0,4,28,29,29,29,29,29,29,30,6,0,0,0,
0,0,0,4,31,37,32,32,32,32,32,33,6,0,0,0,
0,0,0,4,34,35,35,35,35,35,35,36,6,0,0,0,
0,0,0,7,8,8,8,8,8,8,8,8,9,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

